Call ID,Timestamp,Customer ID,Customer Segment,Call Type,Call Duration (minutes),Customer Satisfaction Rating,Issue Category,Transcript,Keywords/Topics Discussed,Resolution Status,Action Taken,Sales Opportunity Identified,Optimization Opportunity Identified
1,2023-05-04 09:05:00,CUST001,Residential,Technical,20,4,Service Interruption,Customer reported internet outage in the area, seeking ETA for resolution.,Internet, Outage, ETA,Yes,Dispatched technician for onsite visit,No,Yes
2,2023-05-04 14:30:00,CUST002,Business,Billing,15,3,Billing,Customer inquired about unexpected charges on the bill.,Billing, Charges,Yes,Issued refund for incorrect charges,No,No
3,2023-05-05 11:20:00,CUST003,Residential,Inquiry,10,5,General Inquiry,Customer asked about available internet speed upgrade options.,Internet, Upgrade, Options,Yes,Upsold higher-speed package,Yes,Yes
4,2023-05-06 08:45:00,CUST004,Residential,Technical,25,2,Service Interruption,Customer experiencing slow internet speeds and intermittent connection.,Internet, Slow, Intermittent,Yes,Issued troubleshooting steps,No,Yes
5,2023-05-06 15:55:00,CUST005,Business,Service Request,30,4,Technical Support,Customer requested assistance with configuring office router for VPN access.,Router, Configuration, VPN,Yes,Provided step-by-step configuration guide,No,Yes
6,2023-05-07 10:10:00,CUST006,Residential,Billing,18,4,Billing,Customer disputed overcharged amount on the bill.,Billing, Dispute,Yes,Reviewed billing statement with customer,No,No
7,2023-05-08 12:20:00,CUST007,Business,Technical,22,3,Service Interruption,Customer reported complete loss of internet connection at office location.,Internet, Loss, Office,Yes,Escalated issue for urgent resolution,Yes,Yes
8,2023-05-09 09:30:00,CUST008,Residential,Inquiry,12,5,General Inquiry,Customer inquired about upgrading cable TV package.,TV, Upgrade,Yes,Recommended premium package,No,Yes
9,2023-05-10 14:15:00,CUST009,Residential,Billing,14,4,Billing,Customer requested explanation for sudden increase in monthly bill.,Billing, Increase,Yes,Reviewed usage details with customer,No,Yes
10,2023-05-11 11:40:00,CUST010,Business,Technical,28,2,Service Interruption,Customer complained about frequent disconnection issues with office landline.,Landline, Disconnection,Yes,Initiated line quality check,No,Yes
11,2023-05-12 08:20:00,CUST011,Residential,Technical,19,4,Service Interruption,Customer reported poor signal strength on mobile device.,Mobile, Signal,Yes,Recommended device settings,No,Yes
12,2023-05-13 13:45:00,CUST012,Business,Inquiry,16,5,General Inquiry,Customer requested information about international calling rates.,International, Calling Rates,Yes,Provided rate table,No,Yes
13,2023-05-14 10:55:00,CUST013,Residential,Billing,23,3,Billing,Customer questioned validity of equipment rental charge on bill.,Billing, Equipment Rental,Yes,Investigated billing records,No,Yes
14,2023-05-15 09:10:00,CUST014,Business,Technical,31,2,Service Interruption,Customer reported fax machine not receiving documents.,Fax, Machine, Issues,Yes,Performed remote diagnostics,No,Yes
15,2023-05-16 14:30:00,CUST015,Residential,Service Request,17,4,Technical Support,Customer requested assistance with setting up email on new smartphone.,Email, Setup,Yes,Walked customer through setup process,No,Yes
